filename,abstract,top1,top2,top3
file-20,"This article is excerpted from She Come by It Natural: Dolly Parton and the Women Who Lived Her Songs by Sarah Smarsh.
Excerpted with permission by Scribner, a Division of Simon & Schuster, Inc. The fourth of 12 siblings, Dolly Parton was born on a small farm in 1946; her father, Lee, paid the doctor a bag of grain for the delivery.
Of her many hits, Parton has described that tribute to her mother, Avie Lee, as the one most special to her.
She says she got her musical talent from that side of her family, whom she describes as “dreamers.” During Parton’s childhood, radios, record players, and electricity hadn’t yet reached the rural poor, and they entertained themselves in their own homes with old ways passed down from European country peasantry.
In one hit from her early career, “Applejack,” which she has said portrays a composite of real people, she tells of visiting a mountain-music man who gifted her his banjo when he died—a bit of Africa that had reached East Tennessee over the centuries.
While Parton’s musicianship and mentorship came from her mother’s family, her business acumen, she says, came from her father—a tenderhearted lifelong laborer who didn’t learn to read and write but nonetheless was savvy with a horse trade and could stretch a bit of money a long way.
That production stripped away the razzle-dazzle of backup bands and big sets featured on so many of her tours, putting Parton on a mostly bare stage with three backup musicians and a few cascades of white fabric.
At one point during the performance, Parton climbed a few steps to sit on a white platform described as a front porch but that turned out to be an elevated position for communing with heaven.
Before singing “Smoky Mountain Memories,” her 1978 song about poor workers drawn north during the midcentury factory boom, she paid tribute to her father’s hard work, economic decisions, and commitment to his family.
One imagines Parton, who told the crowd her family had running water “if we ran and got it,” absorbed her wit and natural poetry from her mother’s language.
“It wasn’t any of this, ‘please be my darling wife.’ Sheeeeit,” she said, and we both cracked up—not at our own family’s misfortunes but at the delusions of women who got a sentimental proposal and a big diamond before they spent a lifetime pushing a vacuum.
That darkness in a woman’s voice, plain stories of hell on Earth sung by women who have little to carry them forward but faith, is the divine feminine of American roots music.
“Little Sparrow,” from her 2001 album by the same name, blends the bluegrass, folk, and country gospel sounds of her native home and is sung in the voice of a jilted, devastated woman warning young girls to “never trust the hearts of men.” As haunting as the melody is, Parton—who is given to undercutting serious moments with an endearing bit of nervous humor—sets it up with a joke onstage: “I call it my little sad-ass song.”
Parton says you can’t be from where she’s from and not like woeful melodies.
But Parton insists that, in practice, her home was so rich in love that every material poverty was mitigated.
After the moving tribute to her musical mother and industrious father, at another stop on the same tour—in Austin, Texas—Parton made her way down the steps of the “porch” before it was wheeled offstage.
While the fast beat pulsed and one of her band members played another banjo, Parton tapped the air with her bow like a conductor.
Right before her solo, she pointed the bow at the cowboy and said in time with the rhythm, “You dance.” The sexy cowboy hooked his thumbs into the belt loops of his tight jeans and kicked up his heels in place while she fiddled, and the crowd roared.
Parton spends more time than the average performer onstage deferring to others with what, by all known accounts, is a sincere humility—praising the crowd, thanking her own band, honoring her family and her roots.
Sex was the third formative pillar of her life alongside music and religion, Parton said in her 1994 autobiography, My Life and Other Unfinished Business.
In that space of music, sex, and God, Parton wrote, she experienced a spiritual epiphany that “it was all right for me to be a sexual being.” Indeed, she has described herself as having been hormonally precocious both inside and out.
When her mother suggested she’d been possessed, Parton told her to give credit where it was due—not to Satan but to Dolly herself.
What women who didn’t grow up on a farm might miss is that, where Parton was from, this common act of female adolescent rebellion wasn’t just about attracting boys.
“[Glamorous women in magazines] didn’t look as if men and boys could just put their hands on them anytime they felt like it, and with any degree of roughness they chose.
My family’s poverty was nothing like Parton’s, but it was enough that I knew shame.
For women in poverty, though, it is not just a song but a way of life, not just a performance but a necessity.
As with Loretta Lynn, Tammy Wynette, Patsy Cline, and so many female country performers before and since, Parton’s music expresses this.
She Come by It Natural: Dolly Parton and the Women Who Lived Her Songs","('her', 0.5100219991823355)","('parton', 0.31925485724458214)","('she', 0.21985534323854844)"
file-21,"But this year the league’s commitment to social justice got personal: Players started encouraging fans to vote against one of their team’s owners, Republican Sen. Kelly Loeffler, who, already vulnerable due to opposition within her party and allegations of insider trading, is fighting to hold a seat she was appointed to earlier this year.
To figure out why WNBA teams took this step and whether the player-led movement will shift Georgia and perhaps flip the Senate, I spoke with Amira Rose Davis, a critical sports scholar and assistant professor of history and African American studies at Penn State, for Tuesday’s episode of What Next.
Amira Rose Davis: Many rich people get involved with ownership of sports teams.
But then, when she and Mary Brock moved to purchase the team, that’s when she got a little bit more active, attending games, meeting with coaches.
Part of the reason why was that her association with the WNBA, which is seen as a very Black, LGBTQ league, was knocking her and her political aspirations in conservative circles.
One thing that illustrates this: A few years ago, the WNBA had a partnership with the Take a Seat, Take a Stand initiative that directed portions of game-day ticket sales to five partner organizations, one being Planned Parenthood.
Loeffler is focused on branding herself as a Trump conservative partially because of the kind of election she’s running right now.
In the special election to win her seat for real, Loeffler is competing against an especially large field of candidates, including firebrand conservative Rep. Doug Collins, because there was no primary in this race.
I think her escalation of drama with the WNBA is a naked aspiration to hold on to what little crumbling ground she has.
And after the anti–police brutality protests, the WNBA team that she partly owns comes out in favor of Black Lives Matter.
After the league in early July indicated that it was going to dedicate the season to Black Lives Matter, to #SayHerName, to Breonna Taylor, Loeffler wrote an open letter to the league’s president, Cathy Engelbert, and said she absolutely disagreed with this, that it was not a political movement the WNBA should be behind.
Right away, her own players were like, hey, I would love to have a conversation with you.
And Loeffler was like, well, I would welcome a conversation, but it would have to be a dialogue, you can’t cancel me.
At that point, a few players were like, your comments about mob rule are racially insensitive or racist.
We don’t think you should have an ownership stake in a team that’s predominately Black.
And at that point, only a few players were like, get out of here.
Loeffler was escalating it by doing the rounds on conservative media to position herself as victim of these liberal, LGBTQ, Black basketball players and a league behind them that is forcing her to celebrate and amplify Black Lives Matter.
Very quickly, WNBA players were like: This feels like political football.
Part of what I think makes what happened in the WNBA so interesting is that it wasn’t just the Dream that came forward and started speaking out about Loeffler—it was the league.
One of the ways that they decided to do that was to learn about Loeffler and her Senate race, whom she’s in competition with, the people running against her.
After meeting with Rev. Raphael Warnock [the Democratic candidate in the special election], a lot of the players on the Dream decided, we want shirts endorsing him.
But the collectivity of the teams played here: They all were like, we’re going to stand behind the Dream, we’re going to stand as a league, we’re going to stand very publicly rock these shirts, and we’re going to make sure you know who this candidate is because he is whom we believe in, not her.
I think she was very well positioned to have this scripted in a way like: Look at this big, bad, Black, LGBTQ league against little me.
What’s at stake for the WNBA players?
WNBA teams have always engaged in risk.
When we talk about stakes, it’s really important to know this WNBA season was important even before the pandemic, because it was the first season being played under the new collective bargaining agreement they’d fought for.","('loeffler', 0.35932796375467546)","('her', 0.2106614950457155)","('conservative', 0.15327404252353996)"
file-22,"Down one point at the end of Friday’s Game 5, they had the ball and 16.8 seconds to engineer a dramatic, Finals-winning play.
You’ll notice that this article isn’t headlined “Hero Danny Green Carried Out of Bubble On Teammates’ Shoulders.” Green’s shot wasn’t even close, really, and the ball bounced off the front of the rim and into the hands of the Lakers’ Markieff Morris.
i’m gonna spend the next 100 years wondering what would’ve happened if he’d have just thrown it to a wide open lebron to win the championship pic.twitter.com/QlDi0ZNS1J— Shea Serrano (@SheaSerrano) October 10, 2020
If you believe in multiverse theory—and which NBA fan doesn’t?—then you know that, in some dimension, Morris actually did pass the ball to LeBron.
Had Morris found him on the opposite wing, he would’ve had more than just an open shot.
He would’ve had a chance to make a Finals-winning jumper, one that would usurp the 2016 chase-down block on Andre Iguodala as the play that defines his legacy.
For that to happen, Morris would’ve had to get him the ball on time and on target.
Result: Lakers turnover, Heat win, Mike Breen traumatized, LeBron clutchness undetermined.
The universe where Morris passes to Kentavious Caldwell-Pope.
Had he gotten the ball in that moment, he could’ve joined John Paxson, Steve Kerr, Robert Horry, and Ray Allen in the exclusive club of Dudes Who Get Mentioned When People Talk About Big Finals Shots.
Had he hit a series-winning 3-pointer, all the fans who’d made fun of him for earning tens of millions of dollars would look like fools.
Result: Caldwell-Pope misses, Heat win, Mike Breen untraumatized, LeBron clutchness undetermined.
The universe where Morris passes it back to Danny Green.
It looks like Morris winging a pass into Lake Apopka.
Result: Green misses, Heat win, Spurs still win 2013 Finals, LeBron clutchness undetermined.
The universe where Morris takes the shot himself.
The final and most terrifying scenario is one where Markieff Morris tries to win the game all by himself.
And, if you’re Morris, you miss 55.7 of the shots you do take.
Result: Morris makes it, Lakers win, Danny Green relieved, LeBron still criticized for some reason.","('morris', 0.373150536377723)","('shot', 0.16061882454640325)","('caldwell-pope', 0.15974708555990993)"
file-24,"With little more than a minute remaining in Game 3 of the NBA Finals on Sunday, Jimmy Butler lost LeBron James behind a screen and drove to the hoop.
""THEY'RE IN TROUBLE!""Jimmy talking that talk after a clutch hoop 🗣 pic.twitter.com/r7HhXtnHLV— SportsCenter (@SportsCenter) October 5, 2020
Butler explained to reporters after the game that the bon mot did not materialize out of thin air: James had said the same thing to him at the end of the first quarter, and Butler was simply returning the volley, with interest.
He is the first player to score 40 points in a Finals game without attempting a single 3-pointer since Shaquille O’Neal did it in 2002.
According to @EliasSports Jimmy Butler scored or assisted on 73 points, tied for the 2nd-most in an NBA Finals game in league history.
(Walt Frazier, 74)Butler is the first player with a 40-point Finals game without attempting a three since Shaquille O'Neal in 2002.
Had you been scoring it like a boxing match, the Heat star would have come out the clear winner, but Butler won in accordance with normal basketball scoring, too, so let’s just stick with that.
Jimmy Butler is the first player to outscore, outrebound and out-assist LeBron James in a Finals game, including LeBron's teammates.
His game developed slowly and steadily over three seasons in Wisconsin and, come his senior year, Butler was good enough to be a first-round pick (albeit the very last pick of the first round).
Butler barely played during his rookie season with the Chicago Bulls, but he made a string of impressive appearances in his second year while filling in for injured forward Luol Deng.
In one of those games, a win against the Lakers, Butler held Kobe Bryant to just 16 points.
After leading the Philadelphia 76ers to a Game 2 victory over the Toronto Raptors last year, Philly head coach Brett Brown said, “This was James Butler.
That was the adult in the gym.” When a reporter relayed that quote to Butler, he said, “My name isn’t James.
Charles Barkley on NBA TV: ""I have a question...you clearly have not made it to the barber in the bubble.""Jimmy Butler: ""That's not a question.""— Jared Weiss (@JaredWeissNBA) October 5, 2020
His approach to the Disney bubble has been more Lord of the Flies than Swiss Family Robinson, and he didn’t exactly jump for joy when the NBA announced that it would allow players to invite loved ones to join them in central Florida.
Jimmy Butler told Rachel Nichols he's selling coffee to fellow players inside the bubble for $20.
You can't win without me."" Butler left teammates and coaches largely speechless.
I play really hard.” Butler made it 13 games in Minnesota that season before being traded to the 76ers.
Once again, Butler complained (probably accurately) that no one else worked as hard as he did.
Perhaps Joel Embiid, Butler’s former teammate in Philly, put it best when he tweeted the following during Sunday’s game:
But a close study of Butler’s career suggests that the guy we saw in Game 3 is the real Jimmy.","('butler', 0.4957863050884539)","('butler’s', 0.18642141760913883)","('teammates', 0.14408334647800536)"
file-25,"On Wednesday, the Big Ten conference announced that, after delaying its fall sports season on account of the coronavirus, it will, in fact, try to play football this semester—and the Pac-12, its fellow major holdout, is expected to soon announce the same, albeit on a slower schedule.
Egregiously well-paid Big Ten coaches have been vocally upset about not getting to put their unpaid players on the field; Donald Trump and various right-wing “shut up and play” figures in the sports world have said, among many other bad and insane things, that dying while playing college football this year would be an act commensurate with dying so that the Allies could retake Normandy.
• All players, coaches, and support staffers must receive a negative result on a rapid COVID test before participating in a practice or game.
(A report from earlier in the month claimed that Trump had offered the conference access to rapid tests that the federal government has ordered; an anonymous Big Ten president, however, told NBC Wednesday that Trump “had nothing to do with our decision.” The federal government’s contract is with Abbott Laboratories, and while the Big Ten’s announcement does not name its test provider, previous reports have cited a different company, Quidel Corporation, as a potential college football source.)
In theory, these protocols should eliminate the incentive and opportunity for an entire team to get COVID during training camp, which is what Louisiana State coach Ed Orgeron said Tuesday has happened to his squad, which is the defending national champion.
If you were to play college football right now, the system the Big Ten claims it’s putting in place is how you would do it while respecting the stated interests and health of the players involved.
The resources that major college football teams have access to, meanwhile, are dependent on those teams continuing to play games on TV; there aren’t tens of millions of dollars sitting in the bank right now that teams could be donating to essential workers and at-risk populations if they weren’t returning to the field.
But it’s at least possible to envision the plan working out OK; not every team that’s playing now has gone full LSU, and the Big Ten will be starting with more cautious parameters.
The conference’s announcement, in sum, could potentially (potentially!) improve the lives of college football players and fans this fall, which, in these times, is not nothing.
The enemy is the people who are ready to call it a day because they found a way to send Jim Harbaugh back to work; the job of building (rebuilding?) a society whose non-sports aspects are also functional remains important and incomplete, but achievable.","('ten', 0.5372573524357722)","('football', 0.17687303491202847)","('rapid', 0.15024126922328648)"
file-26,"29, Andrew Hitt, the chair of the Wisconsin state Republican Party, sent an open letter to Claire Woodall-Vogg, executive director of the Milwaukee Election Commission, to express his concern about the potential presence of sports mascots (including the Brewers’ racing sausages) at early voting centers.
That letter concerned the use of two sports venues—the Brewers’ Miller Park and the Bucks’ Fiserv Forum—as early voting sites.
Last week, the Milwaukee Election Commission announced that it was withdrawing the two sports facilities as early voting sites, citing the fear that they would be vulnerable to legal challenges, and that any votes cast there could be retroactively invalidated by a court.
Miller Park and Fiserv Forum were set to be just two among dozens of sports stadiums, arenas, and practice facilities that are, for the first time, going to become cogs in the democratic process.
Adapting these sites for voting is the result of a player-led movement that began with the Milwaukee Bucks and their wildcat strike in the NBA bubble after the shooting of Jacob Blake in Kenosha, Wisconsin.
Before play resumed in the NBA, the Players Association and the league agreed to a series of conditions; chief among them was the use of arenas as voting sites.
At a time when voter suppression continues to be an electoral strategy for one of the two major parties, and the coronavirus pandemic has made in-person voting riskier and more challenging, it seems like a good and intuitive idea to use stadiums as polling places.
A shortage in poll workers due to COVID fears led the city to go from 182 planned neighborhood polling places to just five on Election Day. The result was chaos, long lines, and exceptionally low turnout.
In a phone interview conducted before Fiserv Forum was canceled as a voting site, Milwaukee Bucks vice president Alex Lasry—whose father Marc co-owns the team—told Slate that he would like to see the arena used as a polling place not just in presidential and midterm elections, but in local races for years to come.
But as the Milwaukee case proves, the process of transforming sports venues into polling places is logistically and legally challenging in ways that go beyond even the demonization of mascots by Republicans bent on suppressing voter turnout in cities.
“You go to bed at night and the law is one way,” said Anita Johnson of Souls to the Polls, a Milwaukee organization committed to reaching voters through inner-city churches.
It’s the protest movement, after all, and the ensuing focus by LeBron James and other public figures on the vote, that led directly to the widespread use of sports venues as polling places.
This summer, when James announced the formation of More Than a Vote—an organization dedicated to protecting and turning out the Black vote—the biggest early headlines described the group’s successful push to use NBA facilities as voting sites.
As a high-profile initiative with the specific goal of getting out the vote, it’s tempting to think that the stadium polling sites would cause higher turnout and participation—but they may be more of an effect of the many other forces driving high voter engagement this cycle.
“I think it’s a combination of widespread national interest in racial justice and the pandemic happening simultaneously [driving engagement]—and the fact that these arenas aren’t actually being used for sports [that] makes them available,” said Barry Burden, a political science professor at the University of Wisconsin-Madison and founding director of its Elections Research Center.
Souls to the Polls has a stated goal of turning out 100,000 voters in Milwaukee.
The experts I spoke with—from Johnson in Milwaukee to elections experts like Burden and Kevin Morris of the Brennan Center for Justice, who wrote a report about Milwaukee’s disastrous April primary—said they believed that most voters would probably vote at the place most convenient for them, even if it’s not as glamorous as a pro sports facility.
“I don’t think [stadiums] are likely to turn out huge numbers of new voters who otherwise wouldn’t be voting somewhere else,” said Burden, even before Fiserv Forum and Miller Park were nixed as voting sites.
A world in which Fiserv Forum and Miller Park are even being considered as voting sites is a world that is already funneling more of the necessary resources to its electoral system.
But in Atlanta’s Fulton County, there were fewer problems—in part because State Farm Arena, home of the Hawks, was opened as an early voting site with free parking for voters.
In Milwaukee, election officials anticipate that more than half of ballots will be cast by absentee voters, either via mail, designated drop-off locations, or in-person early voting.
In essence, a world in which Fiserv Forum and Miller Park are even being considered as voting sites is a world that is already funneling more of the necessary resources to its electoral system.
After the debacle in April, Milwaukee appears to be on pace to have plenty of poll workers on Nov. 3, and to be ready to process the deluge of early ballots.
Likewise, LeBron James’ most important accomplishment this election may not be championing the stadiums, but the recent news that More Than a Vote has already recruited 10,000 poll workers, and that it has plans to recruit more in targeted cities throughout the country.
Last month, a federal judge issued a series of rulings that would have eased the burden on some voters: allowing poll workers to volunteer outside their counties of residence; allowing ballots postmarked on Election Day (Nov. 3) to be counted if they arrived by Nov. 9; extending the registration deadline from Oct. 14 to Oct. 21.
To a certain extent, it doesn’t matter that citizens, political activists, and major civic players like the Bucks want to expand voting access in Milwaukee.","('voting', 0.4613364731036919)","('milwaukee', 0.2606624340521073)","('polling', 0.21198986688660937)"
file-27,"The Miami Heat celebrate their Eastern Finals Championship at AdventHealth Arena at the ESPN Wide World Of Sports Complex on September 27, 2020 in Lake Buena Vista, Florida.
But in the weirdest postseason in history, it’s only appropriate that a wonderfully bizarre Miami Heat team has a chance to go all the way.
They booked their ticket to the Finals on Sunday by beating the Boston Celtics, 125-113, and the ease with which the No. 5 seed in the Eastern Conference closed out the fourth quarter belied just how unlikely their whole postseason run has been.
That’s how the Heat did it 10 years ago, when they brought in LeBron James and Chris Bosh to team up with Dwyane Wade.
And that’s how Miami’s opponent in the NBA Finals, the Los Angeles Lakers, have done it.
Butler joined a young, developing big man in Bam Adebayo, veteran Goran Dragic, and young guards Tyler Herro (a rookie), Kendrick Nunn (an undrafted rookie), and Duncan Robinson (who went undrafted out of Michigan after starting his college career in Division III).
Game 6 was a good example of the 2020 Miami Heat experience.
Down six points in the fourth quarter, they calmly rattled off a 35-17 run and kicked the shell-shocked Celtics out of Disney World like a monorail flasher.
But in a close-out game in the Eastern Conference Finals?
But, win or lose in the NBA Finals, this iteration of the Heat have provided us with a most refreshing intermission.
Join Slate Plus","('heat', 0.19609396862519446)","('adebayo', 0.13091022796594173)","('rookie),', 0.13091022796594173)"
file-28,"But this year the league’s commitment to social justice got personal: Players started encouraging fans to vote against one of their team’s owners, Republican Sen. Kelly Loeffler, who, already vulnerable due to opposition within her party and allegations of insider trading, is fighting to hold a seat she was appointed to earlier this year.
To figure out why WNBA teams took this step and whether the player-led movement will shift Georgia and perhaps flip the Senate, I spoke with Amira Rose Davis, a critical sports scholar and assistant professor of history and African American studies at Penn State, for Tuesday’s episode of What Next.
Amira Rose Davis: Many rich people get involved with ownership of sports teams.
But then, when she and Mary Brock moved to purchase the team, that’s when she got a little bit more active, attending games, meeting with coaches.
Part of the reason why was that her association with the WNBA, which is seen as a very Black, LGBTQ league, was knocking her and her political aspirations in conservative circles.
One thing that illustrates this: A few years ago, the WNBA had a partnership with the Take a Seat, Take a Stand initiative that directed portions of game-day ticket sales to five partner organizations, one being Planned Parenthood.
Loeffler is focused on branding herself as a Trump conservative partially because of the kind of election she’s running right now.
In the special election to win her seat for real, Loeffler is competing against an especially large field of candidates, including firebrand conservative Rep. Doug Collins, because there was no primary in this race.
I think her escalation of drama with the WNBA is a naked aspiration to hold on to what little crumbling ground she has.
And after the anti–police brutality protests, the WNBA team that she partly owns comes out in favor of Black Lives Matter.
After the league in early July indicated that it was going to dedicate the season to Black Lives Matter, to #SayHerName, to Breonna Taylor, Loeffler wrote an open letter to the league’s president, Cathy Engelbert, and said she absolutely disagreed with this, that it was not a political movement the WNBA should be behind.
Right away, her own players were like, hey, I would love to have a conversation with you.
And Loeffler was like, well, I would welcome a conversation, but it would have to be a dialogue, you can’t cancel me.
At that point, a few players were like, your comments about mob rule are racially insensitive or racist.
We don’t think you should have an ownership stake in a team that’s predominately Black.
And at that point, only a few players were like, get out of here.
Loeffler was escalating it by doing the rounds on conservative media to position herself as victim of these liberal, LGBTQ, Black basketball players and a league behind them that is forcing her to celebrate and amplify Black Lives Matter.
Very quickly, WNBA players were like: This feels like political football.
Part of what I think makes what happened in the WNBA so interesting is that it wasn’t just the Dream that came forward and started speaking out about Loeffler—it was the league.
One of the ways that they decided to do that was to learn about Loeffler and her Senate race, whom she’s in competition with, the people running against her.
After meeting with Rev. Raphael Warnock [the Democratic candidate in the special election], a lot of the players on the Dream decided, we want shirts endorsing him.
But the collectivity of the teams played here: They all were like, we’re going to stand behind the Dream, we’re going to stand as a league, we’re going to stand very publicly rock these shirts, and we’re going to make sure you know who this candidate is because he is whom we believe in, not her.
I think she was very well positioned to have this scripted in a way like: Look at this big, bad, Black, LGBTQ league against little me.
What’s at stake for the WNBA players?
WNBA teams have always engaged in risk.
When we talk about stakes, it’s really important to know this WNBA season was important even before the pandemic, because it was the first season being played under the new collective bargaining agreement they’d fought for.","('loeffler', 0.35932796375467546)","('her', 0.2106614950457155)","('conservative', 0.15327404252353996)"
file-29,"So I am as surprised as anyone that the true joy of my past two weeks—maybe the true joy of this whole cursed year—has been watching a sporting event, the Tour de France.
Remember the roll call at the Democratic National Convention, where they did a whirlwind tour of the country and it felt a little like all that traveling you can’t do right now?
The Tour is like that, except for days and days, and in France, a country you currently cannot visit.
People have been living in France for a long time—a très long time, from the looks of it!—and most of that time, they have been building chateaux and literal castles and many, many churches.
And in the Tour, they bike through it all, and you get to watch, from the living room you do not leave.
One wonderful, hilarious thing about the Tour de France is that the announcers have a lot of time to fill, since, after all, the athletes are just biking for kilometers and kilometers.
When it comes to the historical stuff, Bob seems to have some sort of packet that was compiled by the French bureau of tourism, so every time we are staring at some sort of landmark, Phil will casually say, “Bob, do you know anything about this église?” And then Bob will take it away, clearly reading from his dossier of notable Tour scenery.
I’m not saying everything is normal: There are way fewer people watching the Tour from the sidelines compared with other years, and they are all wearing masks.
But they are there, and they are cheering, and I cannot deny that I have cried multiple times just watching it and remembering the joy that can occur when people are in the same space together, interacting.
As much as I don’t normally get sports, I am not watching the Tour for all those charming cowbells; I am here for drama.
Riding the Tour de France is one of the most ambitious athletic endeavors anyone can attempt.
Except it’s more exciting than watching people run a marathon, because there is way more to watch for than who wins.
You get to fall in love with many riders, for different reasons, and root for a bunch of people for all kinds of stuff.
The real reason I became addicted to the Tour de France this year has to do with one specific rider, Julian Alaphilippe, a French cyclist and beautiful man with a great name.
He wore the yellow jersey for 14 stages last Tour, and the French people love him.
An announcer recently referred to the way he rides his bike as being “frisky”—when was the last time any aspect of life in a pandemic could be frisky?
An announcer recently referred to the way he rides his bike as being “frisky”—when was the last time any aspect of life in a pandemic could be frisky?
Early on in the Tour, when Thibaut Pinot (the names!) was having a tough time, I said to my boyfriend, “I don’t know, I don’t really like him, he kind of just looks like the least athletic kid in gym class.” My boyfriend told me that was one of the most ridiculous things I had ever said, because Thibaut Pinot is riding the Tour de France.
They are riding bikes at ridiculous speeds, and they could, and do, crash at any time.
But the last thing I will say is that another reason the Tour de France is perfect is because it expands to fill however much time you have.","('tour', 0.3694710377568011)","('france', 0.3266740599051874)","('riding', 0.1814855888362152)"
file-30,"Tyler Herro gets a hug from Goran Dragic after Game 4 of the Eastern Conference Finals at AdventHealth Arena at the ESPN Wide World Of Sports Complex on September 23, 2020 in Lake Buena Vista, Florida.
And when it came time to spin the bingo cage on Wednesday to see which letters would spell hero in Game 4, the results were almost literal: Rookie Tyler Herro scored 37 points off the bench, leading his team to a 112-109 victory and a 3-1 series edge.
But when the 20-year-old Herro pulled up from long range on Wednesday, the entire world expected the ball to go in.
Tyler Herro with the deeeeep three 😱 pic.twitter.com/QAlYWejWAU— ESPN (@espn) September 24, 2020
When reporters told Butler after the game that Herro had credited him for his development, the Heat’s veteran star demurred.
pic.twitter.com/Y9LzOen2V8— Miami HEAT (@MiamiHEAT) December 29, 2019
That isn’t to say anyone expected him to join Magic Johnson and Derrick Rose as the only players under the age of 21 to score 30 points in an NBA playoff game.
😤 pic.twitter.com/F2nPcvIhcx— ESPN (@espn) September 24, 2020
TYLER.HERRO.35.📺: ESPN pic.twitter.com/2R9Mot7CBp— NBA (@NBA) September 24, 2020
Tyler Herro been like that!(🎥: @Ballislife) pic.twitter.com/0KtdE8Lrsw— ThrowbackHoops (@ThrowbackHoops) September 24, 2020
Tyler Herro is the only player born in the 2000s to play in a conference finals 😳 (via @ESPNStatsInfo) pic.twitter.com/kF2leRMmii— ESPN (@espn) September 24, 2020
Join Slate Plus","('herro', 0.5401278620556094)","('24,', 0.25095474691345393)","('tyler', 0.21895601746834586)"
file-31,"Tom Brady and Cam Newton reintroduce themselves.
The 2020 NFL season was always going to be weird, but the sight of Tom Brady wearing a pirate-themed uniform is a particularly unsettling twist.
The six-time Super Bowl champion made his Tampa Bay Buccaneers debut Sunday, and the first start of his post–New England career was an inauspicious one.
Brady threw for 239 yards, 2 touchdowns, and 2 interceptions in a 34–23 loss to the New Orleans Saints.
It was the sort of clinical, businesslike result New England fans came to expect during the 19-year Brady era, except for the fact that there were no fans and it was engineered by a guy who dresses like the star of Wes Anderson’s Wario.
Both Brady and Newton opened their accounts with rushing touchdowns.
BRADY SNEAK AND SPIKE 👀 @TomBrady @Buccaneers (via @NFL)pic.twitter.com/ltUJo1AdPr— The Checkdown (@thecheckdown) September 13, 2020
#MIAvsNE | #GoPats pic.twitter.com/W6ED1gyUFs— New England Patriots (@Patriots) September 13, 2020
Mobility is the most obvious thing that separates Brady and Newton, even after the latter spent most of last season recovering from a Lisfranc injury (which is a hurt foot—I had to Google it).
The Patriots’ new quarterback ran the ball 15 times for 75 yards and two touchdowns on Sunday.
For reference, that’s more than twice as many rushing yards than Brady had all last season (34).
🙌@MarcusWilliams with the huge INT off Tom Brady📺: @NFLonFOX pic.twitter.com/0Q6Njysna5— New Orleans Saints (@Saints) September 13, 2020
🙌📺: @NFLonFOX | #Saints pic.twitter.com/SYJV6OG36w— New Orleans Saints (@Saints) September 13, 2020
Tom Brady had the same coach for 19 straight seasons.
Bruce Arians may have amended his blame on Tom Brady for one of those INTs but still didn't like what he saw from 12.
""He looked like Tom Brady in practice all the time so it’s kind of unusual to see that in a ballgame because they didn’t do things that we didn’t get ready for.""— Michael Giardi (@MikeGiardi) September 14, 2020
For 19 straight summers, Tom Brady sat down and wrote “Buffalo Bills,” “New York Jets,” and “Miami Dolphins” on his calendar.
On Sunday, however, he had to play the New Orleans Saints.
The games should get easier for the Bucs, but the opener was a gentle reminder that not everyone gets to play the Jets twice.
Hell, they beat Tom Brady and the Patriots in Week 17 last year and cost New England a bye.
For nearly two decades the image of him wearing a Patriots jersey had seared itself into the brain of every football fan, so any new uniform he decides to put on is bound to look weird.","('brady', 0.547014996753635)","('tom', 0.1931202931595214)","('september', 0.1315210842866552)"
